Linux 4.4.0-53-generic (diptprisrv08) 	12/20/2016 	_x86_64_	(12 CPU)

10:06:55 PM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
10:13:25 PM         1       332      3.02      4.63      2.46         0
10:13:26 PM         1       332      3.02      4.63      2.46         0
10:13:27 PM         2       332      3.02      4.63      2.46         0
10:13:28 PM         1       332      3.02      4.63      2.46         0
10:13:29 PM         1       332      2.86      4.57      2.45         1
10:13:30 PM         1       332      2.86      4.57      2.45         0
10:13:31 PM         1       332      2.86      4.57      2.45         0
10:13:32 PM         4       332      2.86      4.57      2.45         0
10:13:33 PM         1       332      2.86      4.57      2.45         0
10:13:34 PM         2       331      2.71      4.51      2.44         0
10:13:35 PM         2       331      2.71      4.51      2.44         0
10:13:36 PM         2       331      2.71      4.51      2.44         0
10:13:37 PM         2       331      2.71      4.51      2.44         0
10:13:38 PM         1       331      2.71      4.51      2.44         0
10:13:39 PM         2       331      2.66      4.47      2.44         1
10:13:40 PM         1       331      2.66      4.47      2.44         2
10:13:41 PM         1       331      2.66      4.47      2.44         0
10:13:42 PM         1       331      2.66      4.47      2.44         0
10:13:43 PM         1       331      2.66      4.47      2.44         0
10:13:44 PM         2       331      2.52      4.41      2.43         0
10:13:45 PM         1       331      2.52      4.41      2.43         0
10:13:46 PM         1       331      2.52      4.41      2.43         1
10:13:47 PM         2       333      2.52      4.41      2.43         0
10:13:48 PM         1       333      2.52      4.41      2.43         0
10:13:49 PM         1       333      2.40      4.35      2.42         0
10:13:50 PM         1       333      2.40      4.35      2.42         0
10:13:51 PM         1       333      2.40      4.35      2.42         1
10:13:52 PM         2       333      2.40      4.35      2.42         0
10:13:53 PM         1       333      2.40      4.35      2.42         0
10:13:54 PM         1       333      2.29      4.30      2.42         0
10:13:55 PM         1       333      2.29      4.30      2.42         0
10:13:56 PM         1       331      2.29      4.30      2.42         1
10:13:57 PM         3       331      2.29      4.30      2.42         0
10:13:58 PM         1       331      2.29      4.30      2.42         0
10:13:59 PM         1       331      2.10      4.22      2.40         0
10:14:00 PM         2       331      2.10      4.22      2.40         0
10:14:01 PM         1       331      2.10      4.22      2.40         1
10:14:02 PM         1       331      2.10      4.22      2.40         0
10:14:03 PM         2       331      2.10      4.22      2.40         0
10:14:04 PM         2       331      2.10      4.19      2.40         0
10:14:05 PM         1       331      2.10      4.19      2.40         0
10:14:06 PM         1       331      2.10      4.19      2.40         1
10:14:07 PM         1       331      2.10      4.19      2.40         0
10:14:08 PM         1       331      2.10      4.19      2.40         0
10:14:09 PM         2       331      1.93      4.12      2.39         0
10:14:10 PM         1       331      1.93      4.12      2.39         1
10:14:11 PM         2       331      1.93      4.12      2.39         1
10:14:12 PM         3       332      1.93      4.12      2.39         1
10:14:13 PM         3       332      1.93      4.12      2.39         0
10:14:14 PM         2       332      2.01      4.10      2.39         0
10:14:15 PM         2       332      2.01      4.10      2.39         0
10:14:16 PM         2       332      2.01      4.10      2.39         0
10:14:17 PM         2       332      2.01      4.10      2.39         1
10:14:18 PM         2       332      2.01      4.10      2.39         0
10:14:19 PM         1       332      1.93      4.05      2.38         0
10:14:20 PM         4       332      1.93      4.05      2.38         0
10:14:21 PM         2       332      1.93      4.05      2.38         0
10:14:22 PM         2       332      1.93      4.05      2.38         1
10:14:23 PM         2       332      1.93      4.05      2.38         0
